,Name,NameEng,MtimePage,ReleaseDate,BoxOffice,BoxOfficeDetail,BoxOfficeRankCN,BoxOfficeRankNA,BoxOfficeRankG,MtimeRating,NumberofReviewers,BoxOfficeGlobal
47,煎饼侠,Jian Bing Man,http://movie.mtime.com/218762,2015年07月17日,11.63亿CNY,首日1.33亿|首周4.24亿,48,,,6.6,12820,
48,金刚：骷髅岛,Kong: Skull Island,http://movie.mtime.com/226894,2017年03月24日,11.60亿CNY,首日1.51亿|首周4.93亿|连冠2周,49,,,7.1,4488,
49,大黄蜂,Bumblebee,http://movie.mtime.com/246986,2019年01月04日,11.45亿CNY,首日1.10亿|首周3.98亿|连冠2周,50,,,7.3,2491,
50,极限特工：终极回归,xXx: The Return of Xander Cage,http://movie.mtime.com/125805,2017年02月10日,11.28亿CNY,首日1.44亿|首周4.30亿,51,,,6.6,3984,
51,澳门风云3,From Vegas To Macau,http://movie.mtime.com/222326,2016年02月08日,11.18亿CNY,首日1.76亿|首周7.87亿,52,,,4.7,5455,
52,生化危机：终章,Resident Evil: The Final Chapter,http://movie.mtime.com/194595,2017年02月24日,11.12亿CNY,首日2.14亿|首周6.40亿,53,,,6.2,3648,
53,变形金刚3,Transformers: Dark of the Moon,http://movie.mtime.com/105799,2011年07月21日,10.83亿CNY,首日1.10亿|首周3.90亿,54,47,20,8.0,33917,11.24亿USD
54,巨齿鲨,The Meg,http://movie.mtime.com/225827,2018年08月10日,10.51亿CNY,首日1.06亿|首周3.43亿,55,,,6.9,2326,
55,西游记之大闹天宫,The Monkey King,http://movie.mtime.com/126817,2014年01月31日,10.50亿CNY,首日1.29亿,56,,,5.2,22779,
56,乘风破浪,Duckweed,http://movie.mtime.com/237054,2017年01月28日,10.49亿CNY,首日6806.3万|首周1.27亿,57,,,6.6,5637,
57,神偷奶爸3,Despicable Me 3,http://movie.mtime.com/208828,2017年07月07日,10.38亿CNY,首日1.38亿|首周4.41亿,58,,29,7.2,3369,10.35亿USD
58,盗墓笔记,Time Raiders,http://movie.mtime.com/203656,2016年08月05日,10.05亿CNY,首日1.61亿|首周4.40亿,59,,,5.8,14601,
59,狂暴巨兽,Rampage,http://movie.mtime.com/225925,2018年04月13日,10.04亿CNY,首日9458.8万|首周3.46亿,60,,,6.8,2488,
60,功夫熊猫3,Kung Fu Panda 3,http://movie.mtime.com/177861,2016年01月29日,10.02亿CNY,首日1.07亿|首周3.38亿,61,,,7.5,9853,
61,奇幻森林,The Jungle Book,http://movie.mtime.com/207872,2016年04月15日,9.79亿CNY,首日7816.0万|首周3.18亿,62,43,40,7.6,6197,9.67亿USD
62,澳门风云2,The Man From Macao II,http://movie.mtime.com/212471,2015年02月19日,9.75亿CNY,首日6462.9万|首周2.73亿,63,,,5.6,6786,
63,西游记之大圣归来,Monkey King: Hero is Back,http://movie.mtime.com/209164,2015年07月10日,9.56亿CNY,首日1799.7万|首周8672.9万,64,,,8.1,26715,
64,泰坦尼克号,Titanic,http://movie.mtime.com/11925,1998年04月03日,9.48亿CNY,,65,5,2,8.9,61658,21.88亿USD
65,老炮儿,Mr. Six,http://movie.mtime.com/217699,2015年12月24日,9.03亿CNY,首日5511.7万|首周2.52亿,66,,,7.9,15309,
66,超时空同居,How Long Will I Love U,http://movie.mtime.com/250729,2018年05月18日,9.00亿CNY,首日5012.5万|首周2.35亿|连冠2周,67,,,6.8,2285,
67,智取威虎山,The Taking Of Tiger Mountain,http://movie.mtime.com/152510,2014年12月23日,8.94亿CNY,首日1714.1万,68,,,7.6,13474,
68,绝地逃亡,Skiptrace,http://movie.mtime.com/199602,2016年07月21日,8.89亿CNY,首日9850.8万|首周4.04亿,69,,,6.1,4236,
69,十二生肖,CZ12,http://movie.mtime.com/105646,2012年12月20日,8.80亿CNY,,70,,,7.1,14791,
70,阿丽塔：战斗天使,Alita: Battle Angel,http://movie.mtime.com/25412,2019年02月22日,8.79亿CNY,首日1.25亿|首周4.29亿,71,,,7.6,4242,
71,碟中谍5：神秘国度,Mission: Impossible - Rogue Nation,http://movie.mtime.com/165359,2015年09月08日,8.70亿CNY,首日1.08亿|首周5.44亿,72,,,7.8,9916,
72,惊奇队长,Captain Marvel,http://movie.mtime.com/218087,2019年03月08日,8.45亿CNY,首日2.14亿|首周5.81亿,73,,,7.1,2480,
73,蚁人2：黄蜂女现身,Ant-Man and the Wasp,http://movie.mtime.com/228903,2018年08月24日,8.31亿CNY,首日1.54亿|首周4.55亿,74,,,7.3,3323,
74,星球大战：原力觉醒,Star Wars: The Force Awakens,http://movie.mtime.com/192895,2016年01月09日,8.26亿CNY,首日1.96亿|首周3.32亿|连冠2周,75,1,3,7.6,9138,20.68亿USD
75,唐人街探案,Detective Chinatown,http://movie.mtime.com/220627,2015年12月31日,8.24亿CNY,首日9202.1万|首周3.78亿,76,,,7.1,9288,
76,从你的全世界路过,Belonged To You,http://movie.mtime.com/219178,2016年09月29日,8.14亿CNY,首日7409.1万|首周3.10亿,77,,,5.5,4212,
