,Genre,BoxOffice
780,剧情,301.0
781,奇幻,297.0
782,冒险,297.0
783,剧情,297.0
784,奇幻,296.0
785,冒险,296.0
786,家庭,296.0
787,悬疑,294.0
788,惊悚,294.0
789,剧情,294.0
790,冒险,293.0
791,喜剧,293.0
792,动画,293.0
793,冒险,293.0
794,科幻,293.0
795,动作,293.0
796,奇幻,292.0
797,冒险,292.0
798,剧情,292.0
799,奇幻,292.0
800,冒险,292.0
801,家庭,292.0
802,奇幻,292.0
803,冒险,292.0
804,家庭,292.0
805,冒险,291.0
806,科幻,291.0
807,动作,291.0
808,奇幻,290.0
809,冒险,290.0
810,动作,290.0
811,奇幻,290.0
812,冒险,290.0
813,家庭,290.0
814,奇幻,290.0
815,家庭,290.0
816,动画,290.0
817,家庭,286.0
818,喜剧,286.0
819,冒险,282.0
820,科幻,282.0
821,动作,282.0
822,科幻,282.0
823,动作,282.0
824,奇幻,281.0
825,冒险,281.0
826,剧情,281.0
827,喜剧,279.0
828,喜剧,277.0
829,惊悚,274.0
830,科幻,274.0
831,剧情,274.0
832,家庭,271.0
833,喜剧,271.0
834,动画,271.0
835,家庭,270.0
836,喜剧,270.0
837,动画,270.0
